23	-75	25	20	23	20	-27	49	67	36	43	24
-77	66	2	27	84	86	-53	70	49	42	50	-49
57	36	94	-57	-39	-97	-79	25	-12	97	-63	-23
99	80	69	-67	71	-99	2	39	-40	-51	-17	-9
54	0	-87	0	-66	10	-9	22	-38	5	-48	-50
-41	13	-40	52	28	94	79	-6	-8	27	62	95
81	-16	89	21	48	-18	-97	69	-1	71	81	-28
58	-5	-91	-70	-88	39	1	63	-85	21	-24	-93
-33	-67	79	-30	93	52	65	32	-87	52	-60	48
-89	-19	2	29	42	-29	-18	-44	49	67	90	20
-81	-52	47	-24	92	75	16	-6	-15	-42	-4	11
78	58	-66	10	71	-87	-49	61	91	-29	21	74
15	87	-82	84	77	-48	95	69	-40	-56	-6	81
25	20	55	-84	90	-95	-40	20	-33	33	-13	-97
14	-70	-96	-54	59	-91	-69	62	-86	53	-11	100
48	-33	-88	-82	56	-23	-53	36	42	84	69	18
86	68	-63	-33	97	0	-40	-88	3	-65	-90	-7
10	-2	97	74	9	-9	30	-57	67	-79	-78	-33
-67	58	-71	-85	29	-94	51	-25	-76	-50	59	-9
-51	-41	38	-41	-95	-46	48	32	-65	27	94	54
-89	-14	-64	33	-44	-51	2	-76	-30	-21	-14	-19
-87	-47	23	-48	-75	-67	92	16	24	-47	-29	-65
-43	-62	23	-11	70	-33	-60	97	54	28	1	72
