49	-9	71	-42	-20	-21	-2	67	-62	20	-75
-51	-76	51	-54	20	-69	2	-86	-80	-5	62
-32	34	-36	49	-79	97	-70	-46	-48	-16	-70
-53	-78	-51	40	-41	43	-76	-65	12	9	-88
69	54	-86	4	98	-74	42	-50	69	78	83
84	18	24	19	-97	-4	-98	-58	10	-7	-66
-95	-91	83	42	30	10	41	97	49	-95	-26
44	-87	1	55	-97	-95	41	13	-98	63	42
-10	7	-38	-70	-80	-75	-46	-91	89	-57	17
-60	11	28	88	-86	-52	77	-19	24	34	71
-6	47	-76	6	-31	1	32	16	-8	-84	40
43	79	47	18	-5	72	61	-11	46	37	-16
49	17	-50	-1	44	-92	57	61	43	-10	-51
-32	53	42	-19	-99	-31	-56	-9	70	49	88
34	-35	92	83	70	-50	-50	-11	-82	-12	-2
-84	0	61	7	7	85	-91	4	21	90	-46
-57	-94	-76	-70	-89	-53	39	-2	66	65	5
-66	-70	23	25	85	-58	-49	-3	-45	-67	-100
31	39	-97	28	-94	-70	50	95	-21	87	90
10	-45	-24	54	-58	-86	-42	-83	-81	44	38
41	-41	85	-19	0	-24	-6	74	20	63	-25
-1	-89	72	-96	-81	45	-57	42	1	-38	58
