47	57	-46	56	95	16	-88	-71	-82	71	88	-22	-34	66	80	-13	38
-64	94	61	60	-3	-98	19	-8	13	45	36	-21	99	-32	6	-86	47
-99	-86	-82	33	94	-34	-79	4	40	-90	-35	28	-72	-22	100	-96	63
43	56	-17	-92	75	94	-88	58	-84	19	11	81	-91	37	-91	-31	3
-24	-15	-90	-28	28	8	-85	6	-79	-70	-46	42	17	35	-38	38	65
44	97	49	4	-18	93	36	45	-68	93	49	0	-15	75	8	-45	-23
42	77	75	26	97	35	-51	-93	-97	44	-71	-4	-46	24	-40	-65	-57
-65	-7	81	92	-61	82	-45	40	41	27	-3	-57	8	-33	-76	-50	-71
-77	-43	-82	22	30	12	59	-61	-6	25	94	56	40	43	59	44	-41
0	-85	-86	74	28	31	85	-75	-59	-22	-98	-22	96	62	66	-77	-78
