-50	49	18	-15	8	61	-10	-60	-65	72	-86	85	15	73	-92
-91	13	95	10	-83	-93	-16	-34	34	78	48	-37	-68	-7	35
29	88	-4	-63	-49	95	-6	-58	72	86	-91	42	-42	-7	-66
-35	7	56	-62	9	89	54	29	-83	-33	-100	-58	81	-31	40
-91	-72	-94	-70	-40	51	21	-80	42	31	-90	-29	-41	-27	-74
66	-50	-78	-66	37	98	97	-30	-74	-53	82	90	-42	45	-5
-60	-48	56	38	71	-84	-24	12	-64	68	21	-92	96	-66	-96
35	-33	12	-9	-33	-26	25	-29	34	43	-23	-50	-18	86	49
82	-61	-35	33	61	84	-81	99	-78	-5	-58	-65	-58	-19	-63
3	-88	89	11	-16	92	-17	-10	-44	23	57	44	86	-13	-37
-33	-73	16	57	-66	31	75	-71	94	2	42	-15	-79	69	99
-51	53	16	-96	37	38	-6	-27	-92	20	-17	46	-37	68	19
-12	-79	-41	-40	-85	56	65	-66	69	40	21	7	-25	-36	-60
